name,serving_size,calories,total_fat,saturated_fat,cholesterol_mg,carbohydrate,fiber,sugars,keywords
"Chayote, raw, fruit",100,19,0.1,0,0,4.51,1.7,1.66,"['Chayote', 'Raw', 'Fruit']"
"Fish, smoked, cisco",100,177,12,1.7,32,0.00,0.0,0.00,"['Fish', 'Smoked', 'Cisco']"
"Frankfurter, turkey",100,223,17,4,77,3.81,0.0,1.21,"['Frankfurter', 'Turkey']"
"Candies, jellybeans",100,375,0.1,0,0,93.55,0.2,70.00,"['Candies', 'Jellybeans']"
"Oil, ucuhuba butter",100,884,100,85,0,0.00,0.0,0.00,"['Oil', 'Ucuhuba Butter']"
Soy protein isolate,100,335,3.4,0.4,0,0.00,0.0,0.00,['Soy Protein Isolate']
"Syrups, light, corn",100,283,0.2,0,0,76.79,0.0,76.77,"['Syrups', 'Light', 'Corn']"
"Fish, raw, milkfish",100,148,6.7,1.7,52,0.00,0.0,0,"['Fish', 'Raw', 'Milkfish']"
"Fish, raw, monkfish",100,76,1.5,0.3,25,0.00,0.0,0,"['Fish', 'Raw', 'Monkfish']"
"Mother's loaf, pork",100,282,22,8,45,7.53,0.0,0,"[""Mother'S Loaf"", 'Pork']"
"Tapioca, dry, pearl",100,358,0,0,0,88.69,0.9,3.35,"['Tapioca', 'Dry', 'Pearl']"
"Guavas, raw, common",100,68,1,0.3,0,14.32,5.4,8.92,"['Guavas', 'Raw', 'Common']"
"Spices, celery seed",100,392,25,2.2,0,41.35,11.8,0.67,"['Spices', 'Celery Seed']"
"Candies, peanut bar",100,522,34,4.7,0,47.40,4.1,42.22,"['Candies', 'Peanut Bar']"
"Bread, toasted, rye",100,284,3.6,0.7,0,53.10,6.4,4.23,"['Bread', 'Toasted', 'Rye']"
"Oil, apricot kernel",100,884,100,6.3,0,0.00,0.0,0.00,"['Oil', 'Apricot Kernel']"
"Candies, YORK BITES",100,394,7.3,4.4,1,81.64,2.0,75.00,"['Candies', 'York Bites']"
"Meatballs, meatless",100,197,9,1.4,0,8.00,4.6,1.25,"['Meatballs', 'Meatless']"
"Emu, raw, full rump",100,112,1.6,0.4,85,0.00,0.0,0.00,"['Emu', 'Raw', 'Full Rump']"
"Mustard greens, raw",100,27,0.4,0,0,4.67,3.2,1.32,"['Mustard Greens', 'Raw']"
"Seaweed, raw, laver",100,35,0.3,0.1,0,5.11,0.3,0.49,"['Seaweed', 'Raw', 'Laver']"
"Sweet rolls, cheese",100,360,18,6.1,76,43.70,1.2,0,"['Sweet Rolls', 'Cheese']"
"Figs, stewed, dried",100,107,0.4,0.1,0,27.57,4.2,23.35,"['Figs', 'Stewed', 'Dried']"
"Bread sticks, plain",100,412,9.5,1.4,0,68.40,3.0,1.26,"['Bread Sticks', 'Plain']"
"SILK Mocha, soymilk",100,58,1.4,0.2,0,9.05,0.0,7.41,"['Silk Mocha', 'Soymilk']"
Milk and cereal bar,100,413,11,9.1,6,72.05,0.4,45.97,['Milk And Cereal Bar']
"Bread, pumpernickel",100,250,3.1,0.4,0,47.50,6.5,0.53,"['Bread', 'Pumpernickel']"
"Game meat, raw, elk",100,111,1.5,0.5,55,0.00,0.0,0,"['Game Meat', 'Raw', 'Elk']"
"PACE, Pico De Gallo",100,31,0,0,0,9.38,0,6.25,"['Pace', 'Pico De Gallo']"
"Ostrich, raw, round",100,116,2.4,0.8,71,0.00,0.0,0.00,"['Ostrich', 'Raw', 'Round']"
"HORMEL, Cure 81 Ham",100,106,3.6,1.2,51,0.21,0,0.00,"['Hormel', 'Cure 81 Ham']"
"Prune juice, canned",100,71,0,0,0,17.45,1.0,16.45,"['Prune Juice', 'Canned']"
"McDONALD'S, BIG MAC",100,257,15,3.8,36,20.08,1.6,3.97,"[""Mcdonald'S"", 'Big Mac']"
"Soy flour, defatted",100,327,1.2,0.1,0,33.92,17.5,16.42,"['Soy Flour', 'Defatted']"
"Bread, toasted, egg",100,315,6.6,1.6,56,52.60,2.5,1.94,"['Bread', 'Toasted', 'Egg']"
